array('d', [-103.30214843750001, 7.888867187500001, 56.5291015625, 6.955273437500001])
array('d', [-103.30214843750001, 7.888867187500001, 56.5291015625, 6.955273437500001])
array('d', [-99.33437500000001, 7.188671875000001, 55.642187500000006, 6.955273437500001])
array('d', [-98.3541015625, 5.9750000000000005, 54.1951171875, 5.788281250000001])
array('d', [-95.9267578125, 7.0953125, 54.801953125000004, 5.0880859375])
array('d', [-95.9267578125, 7.0953125, 54.801953125000004, 5.0880859375])
array('d', [-95.9267578125, 7.0953125, 54.801953125000004, 5.0880859375])
array('d', [-95.9267578125, 7.0953125, 54.801953125000004, 5.0880859375])
array('d', [-95.83339843750001, 4.7146484375, 56.295703125, 5.9283203125])
array('d', [-91.86562500000001, 5.3681640625, 58.442968750000006, 4.0611328125])
array('d', [-91.86562500000001, 5.3681640625, 57.1826171875, 4.1078125000000005])
array('d', [-91.86562500000001, 3.7810546875, 57.1826171875, 4.1078125000000005])
array('d', [-92.2857421875, 4.2478515625, 58.25625, 4.8080078125000005])
array('d', [-90.04511718750001, 3.734375, 58.442968750000006, 2.80078125])
array('d', [-89.718359375, 2.7541015625000003, 58.769726562500004, 2.147265625])
array('d', [-89.718359375, 2.7541015625000003, 59.8900390625, 2.147265625])
array('d', [-90.18515625, 2.4740234375, 59.8900390625, 2.147265625])
array('d', [-88.41132812500001, 3.0341796875, 59.8900390625, 2.0072265625])
array('d', [-88.36464843750001, 2.5673828125, 60.170117187500004, 1.4470703125000002])
array('d', [-87.19765625000001, 0.0, 59.656640625, -0.37343750000000003])
array('d', [-86.8708984375, 0.18671875000000002, 60.030078125, 0.18671875000000002])
array('d', [-86.8708984375, 0.18671875000000002, 60.030078125, 0.18671875000000002])
array('d', [-86.8708984375, -0.8402343750000001, 58.5830078125, 0.3267578125])
array('d', [-86.96425781250001, -0.280078125, 59.003125000000004, 0.5134765625000001])
array('d', [-87.71113281250001, 0.280078125, 58.909765625000006, -0.3267578125])
array('d', [-87.71113281250001, 0.280078125, 58.909765625000006, -0.3267578125])
array('d', [-87.71113281250001, 0.280078125, 58.909765625000006, -0.3267578125])
array('d', [-87.3376953125, 0.6068359375, 59.283203125, 0.280078125])
array('d', [-87.104296875, 0.18671875000000002, 59.9833984375, 0.9802734375000001])
array('d', [-87.104296875, 0.18671875000000002, 59.9833984375, 0.9802734375000001])
array('d', [-87.104296875, 0.18671875000000002, 59.9833984375, 0.9802734375000001])
array('d', [-87.104296875, 0.18671875000000002, 59.9833984375, 0.9802734375000001])
array('d', [-87.47773437500001, 0.046679687500000004, 59.003125000000004, 0.046679687500000004])
array('d', [-87.57109375, -0.42011718750000004, 60.170117187500004, 0.37343750000000003])
array('d', [-88.69140625, 0.046679687500000004, 57.8828125, -0.8402343750000001])
array('d', [-87.1509765625, 0.046679687500000004, 59.376562500000006, 0.046679687500000004])
array('d', [-87.1509765625, 0.046679687500000004, 60.496875, 0.7001953125])
array('d', [-87.0576171875, 0.046679687500000004, 60.496875, 0.7001953125])
array('d', [-87.851171875, 0.466796875, 60.1234375, 0.7001953125])
array('d', [-87.851171875, 0.466796875, 60.1234375, -0.8402343750000001])
array('d', [-87.7578125, 1.5404296875, 60.1234375, -0.8402343750000001])
array('d', [-87.57109375, 0.046679687500000004, 60.170117187500004, -0.2333984375])
array('d', [-87.57109375, 0.046679687500000004, 60.170117187500004, -0.2333984375])
array('d', [-87.57109375, 0.046679687500000004, 60.170117187500004, -0.2333984375])
array('d', [-87.94453125000001, -0.5134765625000001, 59.376562500000006, -0.0])
array('d', [-87.01093750000001, -0.5134765625000001, 59.75, -0.3267578125])
array('d', [-85.5171875, 0.18671875000000002, 60.8236328125, -0.3267578125])
array('d', [-85.5171875, -0.653515625, 60.8236328125, -0.3267578125])
array('d', [-87.24433593750001, -0.653515625, 57.8828125, 0.18671875000000002])
array('d', [-86.73085937500001, -0.7935546875, 59.4232421875, -0.2333984375])
array('d', [-86.96425781250001, -0.37343750000000003, 59.003125000000004, -0.653515625])
array('d', [-86.96425781250001, -0.37343750000000003, 59.003125000000004, -0.653515625])
array('d', [-86.917578125, 0.046679687500000004, 60.030078125, 0.046679687500000004])
array('d', [-87.104296875, -0.37343750000000003, 58.5830078125, 0.5134765625000001])
array('d', [-87.1509765625, -0.280078125, 60.4501953125, -0.280078125])
array('d', [-86.357421875, 0.6068359375, 60.1234375, -0.37343750000000003])
array('d', [-86.6375, 0.7935546875, 60.1234375, -0.280078125])
array('d', [-86.6375, 0.7935546875, 60.1234375, 0.6068359375])
array('d', [-87.43105468750001, -0.466796875, 60.496875, 0.6068359375])
array('d', [-87.0576171875, 0.1400390625, 59.75, -0.2333984375])
array('d', [-87.0576171875, 0.1400390625, 59.75, -0.2333984375])
array('d', [-87.6177734375, -0.37343750000000003, 59.003125000000004, 0.09335937500000001])
array('d', [-86.6375, -1.30703125, 59.4232421875, 0.09335937500000001])
array('d', [-86.6375, -1.30703125, 59.4232421875, 0.09335937500000001])
array('d', [-87.6177734375, 0.7001953125, 59.75, 0.5134765625000001])
array('d', [-85.983984375, 0.7001953125, 59.75, 0.1400390625])
array('d', [-87.57109375, 0.466796875, 60.1234375, 0.1400390625])
array('d', [-87.1509765625, 0.046679687500000004, 58.676367187500006, -0.280078125])
array('d', [-88.17792968750001, 0.9802734375000001, 59.75, -1.0269531250000001])
