t,dist,holg_izq,holg_der,e_lat,e_rumbo_deg,v,w,n_front,modo,holg_verdad
17.47,0.326,0.3745572504188368,0.3497968426417983,0.009415556204418474,-0.33044585620942557,0.06,0.07608895355412693,0,vano,nan
17.57,0.329,0.37595028051836815,0.3439011738547954,0.010776617764309854,-0.5938422858564891,0.06,0.08144280519014105,0,vano,nan
17.68,0.334,0.37106002181803593,0.34263115805272026,0.011206439821239894,-0.7481523986698323,0.06,0.08127137439593632,0,vano,nan
18.07,0.357,0.3549647096126673,0.3224472771470514,0.008345442013478935,-1.5615490680451913,0.06,0.03422771911805407,0,vano,nan
18.17,0.363,0.3533669023330572,0.3176097755644977,0.0016439056401242047,-1.320350877877573,0.06,-0.019771554389723972,0,vano,nan
18.27,0.367,0.34700755365744973,0.30981542788589306,-0.0030214696509932304,-1.2024143380351833,0.06,-0.058672360616792124,0,vano,nan
18.37,0.372,0.3436835211142169,0.30718438971145096,-0.005148278716913771,-1.1861935113498747,0.06,-0.077388981960496,0,vano,nan
18.47,0.377,0.3391987709406222,0.3022513992827557,-0.00559476549316143,-1.1908136917123608,0.06,-0.08152831898576698,0,vano,nan
18.57,0.383,0.3340142443270025,0.29386326540884367,-0.006568667785040769,-1.2673250027762732,0.06,-0.09229650105230529,0,vano,nan
18.67,0.39,0.326037956896114,0.28828976009498714,-0.00559671556208749,-1.4367530399133126,0.06,-0.08798454668557462,0,vano,nan
18.77,0.397,0.32125150330937113,0.28672555377735126,-0.0071150974322897464,-1.3967826021715046,0.06,-0.100603559904308,0,vano,nan
18.87,0.403,0.31360550470436843,0.2876886661135496,-0.006216180150294209,-1.5579054281222684,0.06,-0.09673149008578605,0,vano,nan
18.97,0.41,0.30827265761838285,0.2784521690365012,-0.007229640912759003,-1.4949837661250833,0.06,-0.10420535168895238,0,vano,nan
19.07,0.416,0.3025741044382743,0.26576905882230034,-0.00817814113494518,-1.5019999293525559,0.06,-0.1129255364123931,0,vano,nan
19.17,0.422,0.29727921744791896,0.2657572544951577,-0.006806956415199877,-1.555871339511504,0.06,-0.10199522415463433,0,vano,nan
19.57,0.444,0.2762019289721641,0.2587974281786945,-0.005934746207329783,-1.5609924591775786,0.06,-0.09427940288314593,0,vano,nan
19.88,0.463,0.2551120586416478,0.23113914167413135,-0.00619373204530721,-1.2181457489322018,0.06,-0.08763456953982357,0,vano,nan
19.97,0.469,0.24774869165765775,0.2302467245658444,-0.0064008075005791976,-1.0971110123045322,0.06,-0.08632956664211594,0,vano,nan
20.07,0.473,0.24427345890434668,0.22756216883656133,-0.005512451069317095,-1.09059326744138,0.06,-0.07816372459925659,0,vano,nan
20.17,0.478,0.23351137274216993,0.21772220694354677,-0.006428571664749819,-0.9390502830798771,0.06,-0.08244142390504135,0,vano,nan
20.27,0.485,0.22959032319636688,0.218211195269434,-0.006241741691033226,-0.9292904049484865,0.06,-0.08050444112961277,0,vano,nan
20.37,0.491,0.22218115984130346,0.2104259902903605,-0.005908279831278979,-0.9005138880420243,0.06,-0.07674991694091418,0,vano,nan
20.47,0.496,0.2171066465984275,0.200517986593294,-0.006466282554860842,-0.8867095395301978,0.06,-0.08141054445421472,0,vano,nan
20.57,0.502,0.21121206086449099,0.2000407933660773,-0.006552220312030274,-0.7908995459936284,0.06,-0.07967568450344818,0,memoria,nan
20.67,0.508,0.20517082694331878,0.1950298016071901,-0.0066240274068225385,-0.6585081523429341,0.06,-0.07685594977581577,0,memoria,nan
20.77,0.514,0.19921403131229404,0.18534025527816703,-0.006690418401642889,-0.5617446458613884,0.06,-0.07492020605338215,0,memoria,nan
20.87,0.52,0.19334684754895337,0.18611168981223988,-0.006741777845249958,-0.4468058636286434,0.06,-0.07237335076355453,0,memoria,nan
20.97,0.526,0.18622097173758212,0.17622717967950502,-0.006782813486086017,-0.3017060385100384,0.06,-0.06894396699249762,0,memoria,nan
21.07,0.532,0.18266048704908233,0.17080600027025156,-0.006809246468380575,-0.15869354225112658,0.06,-0.06543780543632752,0,memoria,nan
21.17,0.537,0.1903521926352981,0.1658562516195044,-0.0068198799623869905,-0.022687038841455492,0.06,-0.06197286494944977,0,memoria,nan
21.48,0.554,0.17210418978467726,0.15728955758686372,-0.006761049460206767,0.4330400450529733,0.06,-0.04951248327312245,0,memoria,nan
21.58,0.559,0.1702748085892573,0.15064003671644216,-0.006716731516931973,0.5920761760818725,0.06,-0.0449500656095182,0,memoria,nan
21.69,0.566,0.1573774265807843,0.145501911453649,-0.00664252725351229,0.7299474242427894,0.06,-0.04067276640237778,0,memoria,nan
22.59,0.62,0.12678572148488934,0.10122056527145644,-0.005241149666110334,2.274525817026144,0.06,0.01237659964808746,0,memoria,nan
22.68,0.624,0.12041448720657807,0.10255500006984458,-0.005068719896367493,2.4366329564322227,0.06,0.018172422561211307,0,memoria,nan
22.78,0.63,0.12213834550232845,0.09686469972590632,-0.004815528528466895,2.4337032828105074,0.06,0.020374446196255058,0,memoria,nan
22.87,0.637,0.12009247746472367,0.08903042911669141,-0.004547339111654766,2.58470876870491,0.06,0.02674146532371098,0,memoria,nan
22.97,0.643,0.11741946777350558,0.09256918526264658,-0.004250155233454941,2.6844754721818367,0.06,0.032028006416809265,0,memoria,nan
23.07,0.65,0.1162382582884421,0.08259376827744597,-0.0039028311343839023,2.790861081851447,0.06,0.037939092056662946,0,memoria,nan
23.18,0.656,0.11268331793265056,0.084787306035604,-0.003617224578413014,2.849212349184208,0.06,0.042037183666903066,0,memoria,nan
23.27,0.663,0.1110816399007881,0.0801930491867053,-0.0032757005576466852,2.9035197819212204,0.06,0.046532665118149366,0,memoria,nan
23.37,0.668,0.11108158386293075,0.07554264191674626,-0.002989649357579491,2.946996797382538,0.06,0.05024535152186484,0,memoria,nan
23.47,0.674,0.11324107492211763,0.07116306589537276,-0.002693295029521134,2.9810433589392287,0.06,0.05380387737161081,0,memoria,nan
23.77,0.692,0.09716220286236109,0.0653491516098554,-0.0017735146610896174,2.9494813055060205,0.06,0.061255608060844666,0,memoria,nan
23.87,0.699,0.10474844186798192,0.06632305296012284,-0.00139516065322573,2.970057754407052,0.06,0.0651994843041567,0,memoria,nan
